stock,total_score,raw_momentum_6m,raw_momentum_3m,raw_momentum_1m,volatility_adjusted_6m,volatility_adjusted_3m,volatility_adjusted_1m,relative_strength_6m,relative_strength_3m,relative_strength_1m,trend_score,volume_score,calculated_at
STOCK0663,8.7272,0.8858,14.7648,-5.841,0.7087,11.8118,-4.6728,2.6182,3.4909,2.6182,1.7454,0.8727,2025-09-08 04:37:29.925131
STOCK0664,69.1805,15.0909,4.8932,4.5187,12.0727,3.9146,3.615,20.7541,27.6722,20.7541,13.8361,6.918,2025-09-08 04:37:29.925143
STOCK0665,41.9465,25.5526,-6.3819,10.996,20.4421,-5.1055,8.7968,12.5839,16.7786,12.5839,8.3893,4.1946,2025-09-08 04:37:29.925156
STOCK0666,36.9515,4.923,-9.7275,0.0548,3.9384,-7.782,0.0438,11.0855,14.7806,11.0855,7.3903,3.6952,2025-09-08 04:37:29.925168
STOCK0667,3.7324,7.9783,-11.827,7.4826,6.3826,-9.4616,5.9861,1.1197,1.493,1.1197,0.7465,0.3732,2025-09-08 04:37:29.925181
STOCK0668,17.3208,20.6577,-8.8329,18.5207,16.5261,-7.0663,14.8166,5.1962,6.9283,5.1962,3.4642,1.7321,2025-09-08 04:37:29.925194
STOCK0669,93.8967,-17.641,9.8604,-9.5177,-14.1128,7.8884,-7.6142,28.169,37.5587,28.169,18.7793,9.3897,2025-09-08 04:37:29.925206
STOCK0670,57.8241,19.2801,13.5519,-9.327,15.4241,10.8415,-7.4616,17.3472,23.1296,17.3472,11.5648,5.7824,2025-09-08 04:37:29.925219
STOCK0671,36.0724,3.5694,-13.7317,-7.468,2.8555,-10.9854,-5.9744,10.8217,14.429,10.8217,7.2145,3.6072,2025-09-08 04:37:29.925233
STOCK0672,92.2728,6.7548,-8.843,-8.9647,5.4038,-7.0744,-7.1717,27.6818,36.9091,27.6818,18.4546,9.2273,2025-09-08 04:37:29.925246
STOCK0673,51.5099,11.1484,23.1939,12.2929,8.9187,18.5551,9.8344,15.453,20.604,15.453,10.302,5.151,2025-09-08 04:37:29.925258
STOCK0674,62.9507,10.9085,1.5699,-4.1249,8.7268,1.2559,-3.3,18.8852,25.1803,18.8852,12.5901,6.2951,2025-09-08 04:37:29.925271
STOCK0675,58.0444,-18.5522,-8.0214,4.2139,-14.8417,-6.4172,3.3711,17.4133,23.2178,17.4133,11.6089,5.8044,2025-09-08 04:37:29.925284
STOCK0676,23.3002,-7.4168,-10.1676,10.756,-5.9335,-8.1341,8.6048,6.9901,9.3201,6.9901,4.66,2.33,2025-09-08 04:37:29.925297
STOCK0677,96.9182,12.0412,22.3786,13.7978,9.633,17.9029,11.0383,29.0754,38.7673,29.0754,19.3836,9.6918,2025-09-08 04:37:29.925309
STOCK0678,50.6087,11.1479,2.625,-4.3815,8.9183,2.1,-3.5052,15.1826,20.2435,15.1826,10.1217,5.0609,2025-09-08 04:37:29.925322
STOCK0679,48.6025,-4.611,-6.7577,10.7868,-3.6888,-5.4061,8.6294,14.5808,19.441,14.5808,9.7205,4.8603,2025-09-08 04:37:29.925334
STOCK0680,1.8918,-12.4636,6.2567,4.773,-9.9709,5.0054,3.8184,0.5675,0.7567,0.5675,0.3784,0.1892,2025-09-08 04:37:29.925347
STOCK0681,79.2269,17.1071,-0.6091,-2.8532,13.6857,-0.4873,-2.2825,23.7681,31.6908,23.7681,15.8454,7.9227,2025-09-08 04:37:29.925359
STOCK0682,67.0301,10.3074,3.4315,-6.7585,8.2459,2.7452,-5.4068,20.109,26.812,20.109,13.406,6.703,2025-09-08 04:37:29.925372
STOCK0683,3.161,1.8562,-12.9123,-2.4854,1.4849,-10.3299,-1.9883,0.9483,1.2644,0.9483,0.6322,0.3161,2025-09-08 04:37:29.925385
STOCK0684,56.5733,-16.8469,-5.2261,-5.5762,-13.4776,-4.1809,-4.461,16.972,22.6293,16.972,11.3147,5.6573,2025-09-08 04:37:29.925398
STOCK0685,10.125,-2.4501,3.6861,-0.4748,-1.9601,2.9488,-0.3798,3.0375,4.05,3.0375,2.025,1.0125,2025-09-08 04:37:29.925411
STOCK0686,70.2247,23.5646,4.4934,19.631,18.8517,3.5947,15.7048,21.0674,28.0899,21.0674,14.0449,7.0225,2025-09-08 04:37:29.925423
STOCK0687,62.1129,7.6302,14.2912,-5.2768,6.1041,11.4329,-4.2214,18.6339,24.8452,18.6339,12.4226,6.2113,2025-09-08 04:37:29.925436
STOCK0688,95.4982,7.8061,20.9391,1.8752,6.2449,16.7513,1.5002,28.6495,38.1993,28.6495,19.0996,9.5498,2025-09-08 04:37:29.925448
STOCK0689,70.5933,23.8308,-1.1415,15.9584,19.0646,-0.9132,12.7667,21.178,28.2373,21.178,14.1187,7.0593,2025-09-08 04:37:29.925461
STOCK0690,1.5681,18.5496,13.8997,16.2603,14.8397,11.1198,13.0082,0.4704,0.6272,0.4704,0.3136,0.1568,2025-09-08 04:37:29.925474
STOCK0691,76.8749,26.9363,13.1963,10.0243,21.549,10.5571,8.0195,23.0625,30.75,23.0625,15.375,7.6875,2025-09-08 04:37:29.925486
STOCK0692,69.1015,19.7671,-5.0523,5.762,15.8137,-4.0418,4.6096,20.7305,27.6406,20.7305,13.8203,6.9102,2025-09-08 04:37:29.925499
STOCK0693,51.0334,-0.3983,6.1722,-4.4302,-0.3186,4.9377,-3.5441,15.31,20.4134,15.31,10.2067,5.1033,2025-09-08 04:37:29.925511
STOCK0694,55.3949,0.0624,4.1985,-6.0209,0.0499,3.3588,-4.8167,16.6185,22.1579,16.6185,11.079,5.5395,2025-09-08 04:37:29.925524
STOCK0695,98.572,16.2182,16.3854,-3.9358,12.9745,13.1084,-3.1487,29.5716,39.4288,29.5716,19.7144,9.8572,2025-09-08 04:37:29.925539
STOCK0696,81.6949,3.9663,5.5247,5.1936,3.173,4.4198,4.1549,24.5085,32.678,24.5085,16.339,8.1695,2025-09-08 04:37:29.925554
STOCK0697,95.8937,-16.5893,-10.7943,16.4724,-13.2715,-8.6354,13.1779,28.7681,38.3575,28.7681,19.1787,9.5894,2025-09-08 04:37:29.925567
STOCK0698,45.7197,-9.7529,-10.0254,14.178,-7.8023,-8.0203,11.3424,13.7159,18.2879,13.7159,9.1439,4.572,2025-09-08 04:37:29.925580
STOCK0699,32.8618,25.1197,-9.8866,-8.011,20.0958,-7.9092,-6.4088,9.8585,13.1447,9.8585,6.5724,3.2862,2025-09-08 04:37:29.925595
STOCK0700,22.2609,21.209,-14.9358,-6.2311,16.9672,-11.9486,-4.9849,6.6783,8.9044,6.6783,4.4522,2.2261,2025-09-08 04:37:29.925611
STOCK0701,23.1524,-9.1318,-6.2679,5.2849,-7.3054,-5.0143,4.228,6.9457,9.261,6.9457,4.6305,2.3152,2025-09-08 04:37:29.925627
STOCK0702,79.172,24.4015,20.5607,11.9957,19.5212,16.4486,9.5965,23.7516,31.6688,23.7516,15.8344,7.9172,2025-09-08 04:37:29.925643
STOCK0703,46.6333,-0.1058,8.6952,10.6277,-0.0846,6.9562,8.5022,13.99,18.6533,13.99,9.3267,4.6633,2025-09-08 04:37:29.925659
STOCK0704,37.3431,22.7065,-8.94,19.2157,18.1652,-7.152,15.3726,11.2029,14.9372,11.2029,7.4686,3.7343,2025-09-08 04:37:29.925675
STOCK0705,76.9833,-18.7361,-10.3191,2.4037,-14.9888,-8.2552,1.9229,23.095,30.7933,23.095,15.3967,7.6983,2025-09-08 04:37:29.925689
STOCK0706,1.8515,20.8982,14.919,7.748,16.7186,11.9352,6.1984,0.5554,0.7406,0.5554,0.3703,0.1851,2025-09-08 04:37:29.925702
STOCK0707,74.7206,7.1783,-2.5684,4.8357,5.7426,-2.0548,3.8686,22.4162,29.8882,22.4162,14.9441,7.4721,2025-09-08 04:37:29.925715
STOCK0708,16.7948,-5.5774,12.8569,-8.0517,-4.462,10.2856,-6.4414,5.0384,6.7179,5.0384,3.359,1.6795,2025-09-08 04:37:29.925728
STOCK0709,40.3533,-14.5564,-3.3725,2.9296,-11.6452,-2.698,2.3436,12.106,16.1413,12.106,8.0707,4.0353,2025-09-08 04:37:29.925741
STOCK0710,5.3714,14.4029,2.515,-6.6088,11.5223,2.012,-5.2871,1.6114,2.1486,1.6114,1.0743,0.5371,2025-09-08 04:37:29.925755
STOCK0711,41.7023,-7.5211,17.2321,19.4143,-6.0169,13.7857,15.5314,12.5107,16.6809,12.5107,8.3405,4.1702,2025-09-08 04:37:29.925768
STOCK0712,60.7656,20.4573,6.948,-2.99,16.3658,5.5584,-2.392,18.2297,24.3062,18.2297,12.1531,6.0766,2025-09-08 04:37:29.925781
STOCK0713,74.6433,-19.1416,-2.7392,-4.6665,-15.3133,-2.1914,-3.7332,22.393,29.8573,22.393,14.9287,7.4643,2025-09-08 04:37:29.925794
STOCK0714,37.4442,-11.7069,5.0518,-5.2205,-9.3655,4.0414,-4.1764,11.2333,14.9777,11.2333,7.4888,3.7444,2025-09-08 04:37:29.925807
STOCK0715,94.4286,-17.7395,-2.8839,9.035,-14.1916,-2.3072,7.228,28.3286,37.7714,28.3286,18.8857,9.4429,2025-09-08 04:37:29.925821
STOCK0716,71.6467,16.4386,15.4206,14.9837,13.1509,12.3365,11.987,21.494,28.6587,21.494,14.3293,7.1647,2025-09-08 04:37:29.925834
STOCK0717,55.6564,20.5598,17.5063,11.4443,16.4478,14.0051,9.1554,16.6969,22.2625,16.6969,11.1313,5.5656,2025-09-08 04:37:29.925847
STOCK0718,29.4319,19.5893,21.8003,15.9099,15.6714,17.4402,12.7279,8.8296,11.7728,8.8296,5.8864,2.9432,2025-09-08 04:37:29.925861
STOCK0719,42.7375,29.17,20.6706,3.1595,23.336,16.5365,2.5276,12.8212,17.095,12.8212,8.5475,4.2737,2025-09-08 04:37:29.925874
STOCK0720,78.8661,-5.4036,20.8958,3.671,-4.3229,16.7166,2.9368,23.6598,31.5464,23.6598,15.7732,7.8866,2025-09-08 04:37:29.925887
STOCK0721,24.0398,-5.0019,22.4272,17.6878,-4.0015,17.9417,14.1502,7.2119,9.6159,7.2119,4.808,2.404,2025-09-08 04:37:29.925900
STOCK0722,81.1135,5.8377,-11.5757,-6.5357,4.6701,-9.2606,-5.2285,24.3341,32.4454,24.3341,16.2227,8.1114,2025-09-08 04:37:29.925913
STOCK0723,62.9291,12.3236,-13.996,7.8631,9.8589,-11.1968,6.2905,18.8787,25.1716,18.8787,12.5858,6.2929,2025-09-08 04:37:29.925926
STOCK0724,86.4911,-19.8429,-8.7325,9.0255,-15.8743,-6.986,7.2204,25.9473,34.5964,25.9473,17.2982,8.6491,2025-09-08 04:37:29.925939
STOCK0725,84.7834,21.5367,3.5645,11.1166,17.2293,2.8516,8.8933,25.435,33.9134,25.435,16.9567,8.4783,2025-09-08 04:37:29.925952
STOCK0726,40.0428,-12.8092,14.4307,-3.9231,-10.2474,11.5445,-3.1385,12.0128,16.0171,12.0128,8.0086,4.0043,2025-09-08 04:37:29.925965
STOCK0727,68.3447,22.759,-12.1309,13.9691,18.2072,-9.7047,11.1752,20.5034,27.3379,20.5034,13.6689,6.8345,2025-09-08 04:37:29.925979
STOCK0728,63.8321,0.8205,22.0673,15.5478,0.6564,17.6538,12.4382,19.1496,25.5328,19.1496,12.7664,6.3832,2025-09-08 04:37:29.925992
STOCK0729,0.5556,4.5764,-14.3396,9.0441,3.6612,-11.4717,7.2352,0.1667,0.2222,0.1667,0.1111,0.0556,2025-09-08 04:37:29.926005
STOCK0730,53.9785,18.9311,4.2008,8.7995,15.1449,3.3606,7.0396,16.1935,21.5914,16.1935,10.7957,5.3978,2025-09-08 04:37:29.926018
STOCK0731,12.4615,26.6981,-4.1603,-3.7477,21.3585,-3.3283,-2.9982,3.7384,4.9846,3.7384,2.4923,1.2461,2025-09-08 04:37:29.926031
STOCK0732,51.6953,-2.1397,13.3815,-5.7439,-1.7118,10.7052,-4.5951,15.5086,20.6781,15.5086,10.3391,5.1695,2025-09-08 04:37:29.926045
STOCK0733,99.5007,-17.6073,0.3623,12.7458,-14.0858,0.2898,10.1966,29.8502,39.8003,29.8502,19.9001,9.9501,2025-09-08 04:37:29.926058
STOCK0734,15.8173,-13.578,-0.1453,9.6821,-10.8624,-0.1162,7.7457,4.7452,6.3269,4.7452,3.1635,1.5817,2025-09-08 04:37:29.926071
STOCK0735,54.1151,12.2275,-7.9155,7.8914,9.782,-6.3324,6.3132,16.2345,21.646,16.2345,10.823,5.4115,2025-09-08 04:37:29.926084
STOCK0736,48.0269,19.146,20.9888,8.7219,15.3168,16.7911,6.9775,14.4081,19.2108,14.4081,9.6054,4.8027,2025-09-08 04:37:29.926097
STOCK0737,61.4134,0.5039,-8.3143,-5.6748,0.4031,-6.6514,-4.5399,18.424,24.5654,18.424,12.2827,6.1413,2025-09-08 04:37:29.926110
STOCK0738,44.3109,4.0233,7.8056,-9.1476,3.2186,6.2445,-7.3181,13.2933,17.7243,13.2933,8.8622,4.4311,2025-09-08 04:37:29.926123
STOCK0739,39.3956,8.9085,-10.4266,-2.9135,7.1268,-8.3413,-2.3308,11.8187,15.7582,11.8187,7.8791,3.9396,2025-09-08 04:37:29.926136
STOCK0740,52.2734,21.0952,14.1835,-2.8154,16.8761,11.3468,-2.2524,15.682,20.9094,15.682,10.4547,5.2273,2025-09-08 04:37:29.926150
STOCK0741,39.1952,-15.8905,-9.0136,18.3348,-12.7124,-7.2109,14.6678,11.7585,15.6781,11.7585,7.839,3.9195,2025-09-08 04:37:29.926165
STOCK0742,21.0864,-5.1266,-14.5488,19.5956,-4.1013,-11.639,15.6765,6.3259,8.4345,6.3259,4.2173,2.1086,2025-09-08 04:37:29.926179
STOCK0743,21.0229,-2.4735,12.441,-0.8402,-1.9788,9.9528,-0.6722,6.3069,8.4092,6.3069,4.2046,2.1023,2025-09-08 04:37:29.926192
STOCK0744,75.4364,-4.7419,15.8428,10.21,-3.7935,12.6743,8.168,22.6309,30.1746,22.6309,15.0873,7.5436,2025-09-08 04:37:29.926205
STOCK0745,89.8663,3.9581,-12.1929,17.0382,3.1665,-9.7543,13.6306,26.9599,35.9465,26.9599,17.9733,8.9866,2025-09-08 04:37:29.926219
STOCK0746,27.8969,18.8272,-8.0469,-0.2343,15.0618,-6.4375,-0.1874,8.3691,11.1588,8.3691,5.5794,2.7897,2025-09-08 04:37:29.926233
STOCK0747,36.7201,15.1255,-2.8756,1.4302,12.1004,-2.3005,1.1442,11.016,14.688,11.016,7.344,3.672,2025-09-08 04:37:29.926246
STOCK0748,71.4304,26.881,18.2979,12.3266,21.5048,14.6383,9.8613,21.4291,28.5722,21.4291,14.2861,7.143,2025-09-08 04:37:29.926259
STOCK0749,79.5621,-15.3104,-4.1912,2.7577,-12.2483,-3.3529,2.2062,23.8686,31.8248,23.8686,15.9124,7.9562,2025-09-08 04:37:29.926272
STOCK0750,75.9294,-1.7196,22.9264,8.2813,-1.3756,18.3411,6.625,22.7788,30.3717,22.7788,15.1859,7.5929,2025-09-08 04:37:29.926287
STOCK0751,1.9367,13.1349,-5.8901,6.1333,10.5079,-4.7121,4.9066,0.581,0.7747,0.581,0.3873,0.1937,2025-09-08 04:37:29.926300
STOCK0752,1.5727,15.6845,4.4418,18.5727,12.5476,3.5535,14.8581,0.4718,0.6291,0.4718,0.3145,0.1573,2025-09-08 04:37:29.926313
STOCK0753,85.466,-17.0894,-14.1463,13.1927,-13.6715,-11.317,10.5541,25.6398,34.1864,25.6398,17.0932,8.5466,2025-09-08 04:37:29.926327
STOCK0754,15.1563,11.2429,21.1875,-7.768,8.9944,16.95,-6.2144,4.5469,6.0625,4.5469,3.0313,1.5156,2025-09-08 04:37:29.926340
STOCK0755,5.3385,-1.5578,19.9616,-2.7108,-1.2462,15.9692,-2.1686,1.6015,2.1354,1.6015,1.0677,0.5338,2025-09-08 04:37:29.926353
STOCK0756,88.0896,22.4948,4.3224,5.8637,17.9958,3.4579,4.691,26.4269,35.2358,26.4269,17.6179,8.809,2025-09-08 04:37:29.926367
STOCK0757,45.3231,-4.8598,-13.5514,-7.2704,-3.8879,-10.8411,-5.8163,13.5969,18.1292,13.5969,9.0646,4.5323,2025-09-08 04:37:29.926380
STOCK0758,3.7432,-7.51,-6.1887,8.795,-6.008,-4.951,7.036,1.123,1.4973,1.123,0.7486,0.3743,2025-09-08 04:37:29.926393
STOCK0759,97.8925,28.8498,7.2141,13.775,23.0799,5.7713,11.02,29.3677,39.157,29.3677,19.5785,9.7892,2025-09-08 04:37:29.926409
STOCK0760,52.8067,-3.1584,-3.741,1.1084,-2.5267,-2.9928,0.8867,15.842,21.1227,15.842,10.5613,5.2807,2025-09-08 04:37:29.926426
STOCK0761,27.1545,-9.4929,1.4568,5.3681,-7.5943,1.1655,4.2945,8.1464,10.8618,8.1464,5.4309,2.7155,2025-09-08 04:37:29.926439
STOCK0762,71.0936,28.1697,10.7201,11.9779,22.5358,8.5761,9.5823,21.3281,28.4374,21.3281,14.2187,7.1094,2025-09-08 04:37:29.926453
STOCK0763,75.2331,18.6212,2.4532,-6.5026,14.8969,1.9626,-5.2021,22.5699,30.0933,22.5699,15.0466,7.5233,2025-09-08 04:37:29.926466
STOCK0764,48.546,13.4536,17.0315,18.4776,10.7629,13.6252,14.7821,14.5638,19.4184,14.5638,9.7092,4.8546,2025-09-08 04:37:29.926479
STOCK0765,52.9905,17.9875,10.2574,12.8369,14.39,8.2059,10.2695,15.8971,21.1962,15.8971,10.5981,5.299,2025-09-08 04:37:29.926492
STOCK0766,53.3954,18.1206,11.67,-0.407,14.4965,9.336,-0.3256,16.0186,21.3582,16.0186,10.6791,5.3395,2025-09-08 04:37:29.926506
STOCK0767,95.147,-14.7788,8.6834,-9.5677,-11.8231,6.9467,-7.6542,28.5441,38.0588,28.5441,19.0294,9.5147,2025-09-08 04:37:29.926524
STOCK0768,71.4948,10.2937,4.5116,-8.7812,8.2349,3.6093,-7.025,21.4484,28.5979,21.4484,14.299,7.1495,2025-09-08 04:37:29.926540
STOCK0769,14.9726,14.7303,-8.5622,-6.1457,11.7843,-6.8497,-4.9166,4.4918,5.989,4.4918,2.9945,1.4973,2025-09-08 04:37:29.926554
STOCK0770,1.5389,9.9481,1.1727,8.3459,7.9585,0.9381,6.6767,0.4617,0.6156,0.4617,0.3078,0.1539,2025-09-08 04:37:29.926567
STOCK0771,61.8011,-13.295,1.0119,10.3486,-10.636,0.8095,8.2789,18.5403,24.7204,18.5403,12.3602,6.1801,2025-09-08 04:37:29.926580
STOCK0772,14.6598,11.7408,-5.4708,-7.7896,9.3926,-4.3766,-6.2317,4.3979,5.8639,4.3979,2.932,1.466,2025-09-08 04:37:29.926593
STOCK0773,47.6495,26.4233,21.1522,-8.46,21.1386,16.9218,-6.768,14.2949,19.0598,14.2949,9.5299,4.765,2025-09-08 04:37:29.926606
STOCK0774,82.6227,1.9814,4.2299,-0.6138,1.5851,3.3839,-0.4911,24.7868,33.0491,24.7868,16.5245,8.2623,2025-09-08 04:37:29.926619
STOCK0775,37.3697,19.7043,6.2675,-4.0811,15.7634,5.014,-3.2649,11.2109,14.9479,11.2109,7.4739,3.737,2025-09-08 04:37:29.926633
STOCK0776,95.9591,17.1553,-3.238,11.0515,13.7242,-2.5904,8.8412,28.7877,38.3836,28.7877,19.1918,9.5959,2025-09-08 04:37:29.926647
STOCK0777,36.5849,8.6791,16.1106,17.5724,6.9433,12.8885,14.0579,10.9755,14.634,10.9755,7.317,3.6585,2025-09-08 04:37:29.926660
STOCK0778,64.6566,29.1699,15.0894,2.6507,23.3359,12.0715,2.1205,19.397,25.8626,19.397,12.9313,6.4657,2025-09-08 04:37:29.926674
STOCK0779,71.2535,16.7394,9.4932,8.2518,13.3915,7.5946,6.6014,21.376,28.5014,21.376,14.2507,7.1253,2025-09-08 04:37:29.926687
STOCK0780,92.2299,-9.5528,18.8126,19.3097,-7.6423,15.0501,15.4477,27.669,36.892,27.669,18.446,9.223,2025-09-08 04:37:29.926699
STOCK0781,56.5142,-7.9528,12.9297,7.9114,-6.3622,10.3438,6.3291,16.9543,22.6057,16.9543,11.3028,5.6514,2025-09-08 04:37:29.926712
STOCK0782,62.8708,-7.9209,15.4695,12.5632,-6.3367,12.3756,10.0506,18.8612,25.1483,18.8612,12.5742,6.2871,2025-09-08 04:37:29.926725
STOCK0783,5.7535,-18.1251,8.8155,-6.0924,-14.5001,7.0524,-4.874,1.7261,2.3014,1.7261,1.1507,0.5754,2025-09-08 04:37:29.926737
STOCK0784,16.3019,-3.3278,11.3137,-0.1957,-2.6622,9.0509,-0.1566,4.8906,6.5207,4.8906,3.2604,1.6302,2025-09-08 04:37:29.926754
STOCK0785,18.5288,-2.3127,-13.1649,3.9855,-1.8502,-10.5319,3.1884,5.5586,7.4115,5.5586,3.7058,1.8529,2025-09-08 04:37:29.926767
STOCK0786,80.1991,-8.5379,-0.2522,2.0507,-6.8303,-0.2018,1.6406,24.0597,32.0796,24.0597,16.0398,8.0199,2025-09-08 04:37:29.926781
STOCK0787,22.5673,22.4242,-1.1998,-6.2525,17.9394,-0.9599,-5.002,6.7702,9.0269,6.7702,4.5135,2.2567,2025-09-08 04:37:29.926794
STOCK0788,89.4909,-12.0925,7.0007,0.224,-9.674,5.6006,0.1792,26.8473,35.7964,26.8473,17.8982,8.9491,2025-09-08 04:37:29.926808
STOCK0789,98.8686,-14.0293,-1.1489,17.0585,-11.2234,-0.9191,13.6468,29.6606,39.5474,29.6606,19.7737,9.8869,2025-09-08 04:37:29.926821
STOCK0790,92.9067,10.4932,23.0038,1.2952,8.3945,18.403,1.0362,27.872,37.1627,27.872,18.5813,9.2907,2025-09-08 04:37:29.926835
STOCK0791,3.6493,21.7328,17.4957,-2.5113,17.3863,13.9966,-2.009,1.0948,1.4597,1.0948,0.7299,0.3649,2025-09-08 04:37:29.926848
STOCK0792,16.8432,24.6797,-4.3015,-0.108,19.7438,-3.4412,-0.0864,5.0529,6.7373,5.0529,3.3686,1.6843,2025-09-08 04:37:29.926861
STOCK0793,40.2322,-3.6187,9.4811,-9.0161,-2.8949,7.5849,-7.2129,12.0697,16.0929,12.0697,8.0464,4.0232,2025-09-08 04:37:29.926874
STOCK0794,69.8525,-19.184,15.3467,1.5753,-15.3472,12.2773,1.2602,20.9557,27.941,20.9557,13.9705,6.9852,2025-09-08 04:37:29.926888
STOCK0795,4.0683,10.9031,-10.1955,13.7704,8.7224,-8.1564,11.0163,1.2205,1.6273,1.2205,0.8137,0.4068,2025-09-08 04:37:29.926901
STOCK0796,76.2807,10.0843,8.8075,11.8836,8.0675,7.046,9.5069,22.8842,30.5123,22.8842,15.2561,7.6281,2025-09-08 04:37:29.926914
STOCK0797,12.7267,1.3848,-8.294,16.696,1.1078,-6.6352,13.3568,3.818,5.0907,3.818,2.5453,1.2727,2025-09-08 04:37:29.926927
STOCK0798,8.198,-2.9222,19.2461,0.8339,-2.3377,15.3969,0.6671,2.4594,3.2792,2.4594,1.6396,0.8198,2025-09-08 04:37:29.926940
STOCK0799,27.4924,-9.8485,-3.1854,-8.2938,-7.8788,-2.5483,-6.635,8.2477,10.997,8.2477,5.4985,2.7492,2025-09-08 04:37:29.926952
STOCK0800,59.7652,-9.134,-10.2394,0.7961,-7.3072,-8.1915,0.6369,17.9296,23.9061,17.9296,11.953,5.9765,2025-09-08 04:37:29.926965
STOCK0801,83.662,-19.4432,-0.3025,-4.0202,-15.5545,-0.242,-3.2162,25.0986,33.4648,25.0986,16.7324,8.3662,2025-09-08 04:37:29.926978
STOCK0802,27.9147,15.4574,23.2411,0.0952,12.3659,18.5929,0.0762,8.3744,11.1659,8.3744,5.5829,2.7915,2025-09-08 04:37:29.926991
STOCK0803,75.9162,-9.7178,22.1704,17.9855,-7.7742,17.7363,14.3884,22.7749,30.3665,22.7749,15.1832,7.5916,2025-09-08 04:37:29.927004
STOCK0804,2.1799,-10.3085,19.0711,2.4201,-8.2468,15.2569,1.9361,0.654,0.872,0.654,0.436,0.218,2025-09-08 04:37:29.927017
STOCK0805,65.0197,-0.2127,24.2917,4.3869,-0.1702,19.4334,3.5095,19.5059,26.0079,19.5059,13.0039,6.502,2025-09-08 04:37:29.927030
STOCK0806,2.4729,17.9206,-6.9872,-4.6366,14.3365,-5.5898,-3.7093,0.7419,0.9892,0.7419,0.4946,0.2473,2025-09-08 04:37:29.927044
STOCK0807,88.3574,-16.0898,22.9406,-9.0174,-12.8718,18.3525,-7.2139,26.5072,35.343,26.5072,17.6715,8.8357,2025-09-08 04:37:29.927057
STOCK0808,44.6382,1.094,-10.8809,-4.4531,0.8752,-8.7047,-3.5625,13.3914,17.8553,13.3914,8.9276,4.4638,2025-09-08 04:37:29.927070
STOCK0809,1.7451,-15.1985,8.609,15.5822,-12.1588,6.8872,12.4658,0.5235,0.698,0.5235,0.349,0.1745,2025-09-08 04:37:29.927083
STOCK0810,82.7203,2.7345,14.582,-8.9372,2.1876,11.6656,-7.1498,24.8161,33.0881,24.8161,16.5441,8.272,2025-09-08 04:37:29.927096
STOCK0811,83.0059,18.7211,10.8712,5.6383,14.9769,8.6969,4.5107,24.9018,33.2023,24.9018,16.6012,8.3006,2025-09-08 04:37:29.927108
STOCK0812,60.6943,29.9837,0.3928,5.2353,23.9869,0.3142,4.1882,18.2083,24.2777,18.2083,12.1389,6.0694,2025-09-08 04:37:29.927121
STOCK0813,46.0577,16.7941,19.3886,13.8529,13.4353,15.5109,11.0823,13.8173,18.4231,13.8173,9.2115,4.6058,2025-09-08 04:37:29.927134
STOCK0814,76.6263,-14.5651,11.1139,7.9003,-11.6521,8.8911,6.3202,22.9879,30.6505,22.9879,15.3253,7.6626,2025-09-08 04:37:29.927147
STOCK0815,61.7611,4.0621,12.6066,1.7457,3.2497,10.0852,1.3966,18.5283,24.7044,18.5283,12.3522,6.1761,2025-09-08 04:37:29.927160
STOCK0816,7.7692,-3.6306,-2.9289,18.1395,-2.9045,-2.3432,14.5116,2.3308,3.1077,2.3308,1.5538,0.7769,2025-09-08 04:37:29.927173
STOCK0817,23.1825,-0.1551,-11.3793,9.6053,-0.1241,-9.1035,7.6843,6.9547,9.273,6.9547,4.6365,2.3182,2025-09-08 04:37:29.927186
STOCK0818,82.6735,-15.5815,-9.565,16.9669,-12.4652,-7.652,13.5735,24.802,33.0694,24.802,16.5347,8.2673,2025-09-08 04:37:29.927199
STOCK0819,10.0795,-18.4575,-3.1307,-2.0972,-14.766,-2.5046,-1.6777,3.0239,4.0318,3.0239,2.0159,1.008,2025-09-08 04:37:29.927212
STOCK0820,36.1098,2.0432,4.3993,6.0838,1.6346,3.5194,4.867,10.8329,14.4439,10.8329,7.222,3.611,2025-09-08 04:37:29.927224
STOCK0821,92.8009,2.7844,13.0978,12.8385,2.2275,10.4782,10.2708,27.8403,37.1204,27.8403,18.5602,9.2801,2025-09-08 04:37:29.927237
STOCK0822,51.0299,7.5928,17.6704,-0.4309,6.0743,14.1363,-0.3447,15.309,20.4119,15.309,10.206,5.103,2025-09-08 04:37:29.927250
STOCK0823,46.6948,-14.2158,16.9225,19.4968,-11.3726,13.538,15.5975,14.0084,18.6779,14.0084,9.339,4.6695,2025-09-08 04:37:29.927263
STOCK0824,80.3066,5.2556,-6.0753,-1.1614,4.2045,-4.8602,-0.9291,24.092,32.1226,24.092,16.0613,8.0307,2025-09-08 04:37:29.927276
STOCK0825,76.862,-6.7105,2.0209,18.4144,-5.3684,1.6167,14.7315,23.0586,30.7448,23.0586,15.3724,7.6862,2025-09-08 04:37:29.927289
STOCK0826,17.6972,-19.4919,-12.4975,4.578,-15.5936,-9.998,3.6624,5.3091,7.0789,5.3091,3.5394,1.7697,2025-09-08 04:37:29.927301
STOCK0827,98.3958,-14.9514,23.8933,9.7359,-11.9612,19.1146,7.7887,29.5187,39.3583,29.5187,19.6792,9.8396,2025-09-08 04:37:29.927314
